field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Chemistry,20006,"sancar, a",2015,a novel repair enzyme uvrabc excision nuclease of escherichia coli cuts a dna strand on both sides of the damaged region,1983,2033860973,"Living cells have DNA molecules that carry an organism's genes. For the organism to live and develop, its DNA cannot change. DNA molecules are not completely stable, and they can be damaged. In 1983, through studies of bacteria, Aziz Sancar showed how certain protein molecules, certain repair enzymes, repair DNA damaged by ultraviolet (UV) light. These discoveries have increased our understanding of how the living cell works, the causes of cancer and aging processes.",10.1016/0092-8674(83)90354-9,WOS:A1983QS06800033,0,0
Medicine,30038,"hunt, t",2001,cyclin a protein specified by maternal mrna in sea urchin eggs that is destroyed at each cleavage division,1983,2090827556,,10.1016/0092-8674(83)90420-8,WOS:A1983QV90600015,0,0
Medicine,30018,"greider, cw",2009,identification of a specific telomere terminal transferase activity in tetrahymena extracts,1985,2122740168,,10.1016/0092-8674(85)90170-9,WOS:A1985AVR1200003,0,0
Medicine,30034,"horvitz, hr",2002,genetic control of programmed cell death in the nematode c elegans,1986,1969331809,,10.1016/0092-8674(86)90004-8,WOS:A1986A741800002,0,0
Medicine,30037,"nurse, p",2001,negative regulation of mitosis by wee1 a gene encoding a protein kinase homolog,1987,2038340312,,10.1016/0092-8674(87)90458-2,WOS:A1987H430500014,0,0
Medicine,30024,"capecchi, mr",2007,site directed mutagenesis by gene targeting in mouse embryo derived stem cells,1987,1993834457,,10.1016/0092-8674(87)90646-5,WOS:A1987K785400017,0,0
Medicine,30030,"buck, l",2004,a novel multigene family may encode odorant receptors a molecular basis for odor recognition,1991,2097186487,,10.1016/0092-8674(91)90418-X,WOS:A1991FF77300019,0,0
Medicine,30010,"rothman, je",2013,a protein assembly disassembly pathway in vitro that may correspond to sequential steps of synaptic vesicle docking activation and fusion,1993,1971016259,,10.1016/0092-8674(93)90376-2,WOS:A1993MF83000004,0,0
Medicine,30008,"sudhof, tc",2013,synaptotagmin i a major ca2 sensor for transmitter release at a central synapse,1994,2165302477,,10.1016/0092-8674(94)90556-8,WOS:A1994PT48100018,0,0
Physics,10080,"rubbia, c",1984,experimental observation of lepton pairs of invariant mass around 95 gev c2 at the cern sps collider,1983,1996888950,,10.1016/0370-2693(83)90188-0,WOS:A1983QY36100023,0,0
Physics,10080,"rubbia, c",1984,experimental observation of isolated large transverse energy electrons with associated missing energy at sqrt s 540 gev,1983,1674199955,,10.1016/0370-2693(83)91177-2,WOS:A1983QD93800022,0,0
Physics,10046,"veltman, m",1999,regularization and renormalization of gauge fields,1972,2125707848,,10.1016/0550-3213(72)90279-9,WOS:A1972M953600013,0,0
Chemistry,20121,"synge, r",1952,a new form of chromatogram employing two liquid phases a theory of chromatography 2 application to the micro determination of the higher monoamino acids in proteins,1941,1965103059,,10.1016/0968-0004(77)90204-3,WOS:000187172600073,0,0
Medicine,30011,"yamanaka, s",2012,induction of pluripotent stem cells from mouse embryonic and adult fibroblast cultures by defined factors,2006,2125987139,,10.1016/j.cell.2006.07.024,WOS:000240276700016,0,0
Medicine,30011,"yamanaka, s",2012,induction of pluripotent stem cells from adult human fibroblasts by defined factors,2007,2138977668,,10.1016/j.cell.2007.11.019,WOS:000251800900010,0,0
Chemistry,20145,"langmuir, i",1932,the constitution and fundamental properties of solids and liquids part ii liquids,1917,2089260408,,10.1016/S0016-0032(17)90088-2,WOS:000188490300062,0,0
Chemistry,20145,"langmuir, i",1932,the constitution and fundamental properties of solids and liquids,1917,2051995369,,10.1016/S0016-0032(17)90938-X,WOS:000188447200109,0,0
Medicine,30121,"monod, j",1965,genetic regulatory mechanisms in the synthesis of proteins,1961,2032619610,,10.1016/S0022-2836(61)80072-7,WOS:A19615792B00007,0,0
Medicine,30089,"arber, w",1978,host specificity of dna produced by escherichia coli ii control over acceptance of dna from infecting phage ,1962,1518906504,,10.1016/S0022-2836(62)80059-X,WOS:A19625802B00006,0,0
Medicine,30123,"jacob, f",1965,allosteric proteins and cellular control systems,1963,2050643839,,10.1016/S0022-2836(63)80091-1,WOS:A19635811B00006,0,0
